date,year,season,location,sampleID,sampleID.prefix,labelColor,microhabitat,vial,scientificName,stage,notes,number,benthicArea,acceptedTaxonID,taxonRank,organism_aggr,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,taxa.notes,tolerance,FFG,FFG2
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,13,Ablabesmyia sp.,larva,"clear_midges (a very yellow, membranous body with a small but long head)",1,0.5,ABLSP,genus,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,NA,NA,8,prd,cg
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,9,Acentrella turbida,larva,NA,3,0.5,ACETUR,species,Acentrella,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,turbida,NA,4,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,1a,Acroneuria carolinensis,larva,"no anal gills, banded abdominal tergites (with medial black vertical slash on each). does have yellow M on head",1,0.5,ACRCAR,species,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,carolinenis,NA,0,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,9a,Acroneuria evoluta,larva,"yellow M on head reduced to three spots, anal gills present, terga on abdomen brown",1,0.5,ACREVO,species,Acroneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Acroneuria,evoluta,NA,0,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSR,01DRSU18,Lavender,DSR,5,Amphichaeta leydigi,adult,NA,1,0.5,AMPLEY,species,segmented_worms,Annelida,NA,Clitellata,Tubificida,Naididae,Naidinae,NA,Amphichaeta,leydigi,NA,6,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,5b,Antocha sp.,larva,NA,5,0.5,ANTSP9,genus,Antocha,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,Limoniinae,Limoniini,Antocha,NA,NA,3,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,7,Antocha sp.,larva,NA,5,0.5,ANTSP9,genus,Antocha,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,Limoniinae,Limoniini,Antocha,NA,NA,3,cg,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,Lavender,DSP,9,Baetis sp.,larva,NA,1,0.5,BAESP2,genus,Baetis,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetis,NA,NA,4,cg,scr
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,Lavender,DFR,9a,Beloneuria sp.,larva,"has anal gills, no silky setae on cerci. (no abdominal sterna gill tufts, gills on sides, eyes hind margin, three ocelli in triangle, no occipital ridge, spinules near eyes, m marking on head, no silky cerci fringe)",1,0.5,BELSP1,genus,Beloneuria,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Beloneuria,NA,NA,3,prd,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,Lavender,DSH,NA,Bivalvia sp.,adult,"Left the mussel in the river, took photos",1,0.5,BIVSP,class,Bivalvia,Mollusca,NA,Bivalvia,bivalves,bivalves,NA,NA,NA,NA,NA,6,cf,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,Lavender,DM,13,Brillia sp.,larva,"clear_midges (very yellow body, with a seriously sall head compared to body, antenna match key perfectly)",1,0.5,BRISP,genus,midges,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Brillia,NA,NA,6,cg,NA
