date,year,season,location,sampleID,sampleID.prefix,labelColor,microhabitat,vial,scientificName,stage,notes,number,benthicArea
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 01,Acroneuria carolinensis,larva,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 06,Attenella sp.,larva,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 16,Caecidotea sp.,adult,NA,5,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 21,Campeloma decisum,adult,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 09,Chironomidae sp.,larva,NA,9,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 15,Faxonius virilis,adult,NA,4,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 17,Gammarus sp.,adult,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 22,Girardia sp.,adult,"Balloons in ethanol, splotchy dark back.",1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 13,Hagenius brevistylus,larva,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 08,Hydropsyche sp.,larva,NA,12,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 05,Isonychia sp.,larva,forecoxal gills are is large tuft of filiments,3,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 23,Lebertia sp.,adult,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 04,Leptophlebia sp.,larva,NA,10,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 02,Leuctra sp.,larva,NA,2,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 03,Maccaffertium sp.,larva,NA,3,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 03,Maccaffertium vicarium,larva,NA,14,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 18,Microvelia sp.,adult,NA,2,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 07,Nigronia sp.,larva,no gills at the base of the abdominal projection,3,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 14,Ophiogomphus aspersus,larva,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 20,Planorbella sp.,adult,NA,1,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 12,Psephenus sp.,larva,NA,4,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 19,segmented_worms,adult,NA,4,7.2
2015-10-27,2015,Fall,Downstream,01DRFA15.NA,01DRFA15,Orange,NA,LB 10,Stenelmis sp.,NA,NA,9,7.2
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR15,Acroneuria lycorias,larva,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR23,Apatania sp.,larva,NA,2,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR2,Belostoma sp.,larva,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR10,Boyeria vinosa,larva,NA,2,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR7,Caecidotea sp.,adult,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR9,Ceraclea sp.,larva,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR22,Chimarra sp.,larva,"T-shaped membranous labrum, frontoclypeus with asymmetrical notch",1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR6,Chironomidae sp.,larva,NA,2,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR11,Ephemera sp.,larva,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR16,Eurylophella sp.,larva,NA,4,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR1,Hesperocorixa sp.,adult,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR20,Hetaerina sp.,larva,NA,1,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR21,Hydropsyche sp.,larva,"Distinct spot pattern on head, no scale hairs",2,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR21,Hydropsyche sp.,larva,"Distinct spot pattern on head, no scale hairs",36,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR21,Hydropsyche sparna,larva,NA,4,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR12,Isonychia sp.,larva,forecoxal gills are is large tuft of filiments,4,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR5,Lebertia sp.,adult,NA,2,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR18,Leptophlebia sp.,larva,NA,9,3.45
2015-11-04,2015,Fall,Upstream,01URFA15.NA,01URFA15,Blue,NA,UR17,Leuctra sp.,larva,NA,10,3.45
