year,total.precip,season,ADD
1938,231.6,Summer,888.8
1939,130.8,Summer,898.15
1940,224.1,Summer,821.5
1941,181.4,Summer,925.25
1942,144.9,Summer,1001.2
1943,250.7,Summer,859
1944,125.5,Summer,914
1945,341.8,Summer,762.35
1946,243.9,Summer,800.65
1947,248.1,Summer,780.25
1948,273.9,Summer,795.55
1949,151.9,Summer,951.55
1950,174.29999999999998,Summer,862.45
1951,153.5,Summer,873.6
1952,241.5,Summer,911.2
1953,218.9,Summer,881.4
1954,246.4,Summer,880.25
1955,197.5,Summer,923
1956,195.4,Summer,765.8
1957,120.2,Summer,954.1
1958,178.9,Summer,804.85
1959,159.4,Summer,934.8
1960,154.1,Summer,936.75
1961,268.4,Summer,805.1
1962,78.2,Summer,831.85
1963,151.3,Summer,818.95
1964,85.89999999999999,Summer,865.25
1965,162.79999999999998,Summer,849.6
1966,159.29999999999998,Summer,744.6
1967,250.6,Summer,756
1968,223.7,Summer,879.45
1969,156.20000000000002,Summer,930.35
1970,231.29999999999998,Summer,956.85
1971,154.1,Summer,794.15
1972,291.2,Summer,812.25
1973,211.79999999999998,Summer,941.8
1974,202.6,Summer,862.2
1975,166.79999999999998,Summer,917.45
1976,183.2,Summer,946.8
1977,227.79999999999998,Summer,939.25
1978,131.3,Summer,885.05
1979,216.2,Summer,914.65
1980,76.6,Summer,709.05
1981,140.4,Summer,888.9
1982,251.79999999999998,Summer,875.85
1983,278,Summer,766.65
1984,390.4,Summer,808.65
1985,154.1,Summer,945.65
1986,159.5,Summer,970.6
1987,118.1,Summer,942.45
1988,148.5,Summer,813
1989,375.5,Summer,855.5
1990,217.8,Summer,895
1991,241.1,Summer,1007.85
1992,188,Summer,778.1
1993,139.79999999999998,Summer,883.2
1994,229.29999999999998,Summer,821.1
1995,127,Summer,833.65
1996,340.8,Summer,836.5
1997,127.39999999999999,Summer,760.85
1998,235.4,Summer,868.8
1999,125.3,Summer,891.55
2000,329.5,Summer,792.2
2001,163.9,Summer,862.65
2002,285.3,Summer,815.55
2003,234.1,Summer,832.85
2004,244.3,Summer,920.1
2005,176.9,Summer,876.45
2006,266,Summer,867.4
2007,226.5,Summer,904.6
2008,166.8,Summer,848.85
2009,199.9,Summer,849.15
2010,141.7,Summer,888.35
2011,264.8,Summer,907.25
2012,272.8,Summer,926.75
2013,351.3,Summer,862.45
2014,229.9,Summer,853.05
2015,173.7,Summer,940.9
2016,120.39999999999999,Summer,870.9
2017,282.7,Summer,871
2018,165.1,Summer,898.4
2019,233.5,Summer,852.15
2020,158.6,Summer,776.6
2021,295.2,Summer,897.75
1938,375.9,Fall,1012.15
1939,133.1,Fall,1078.9
1940,73.2,Fall,966.75
1941,160.2,Fall,1051.6
1942,124.39999999999999,Fall,1056.2
1943,89.9,Fall,996.25
1944,257.1,Fall,1075.15
1945,115.6,Fall,1012.65
1946,201.3,Fall,1030.1
1947,113.6,Fall,1105.55
1948,77.89999999999999,Fall,1135.45
1949,157.8,Fall,1097.95
1950,108.2,Fall,1018.6999999999999
1951,212.1,Fall,1039.45
1952,164.1,Fall,1057.75
1953,83.1,Fall,1059.3
1954,242.3,Fall,1066.15
1955,374.7,Fall,1071.05
1956,204.8,Fall,921.95
1957,70.2,Fall,976.4
1958,181.8,Fall,959.9
1959,235.79999999999998,Fall,1167.9
1960,217.20000000000002,Fall,1026
1961,163.8,Fall,1144.85
1962,193.4,Fall,943.35
1963,105,Fall,892.35
1964,65.3,Fall,963.9
1965,153.1,Fall,965.45
1966,188.2,Fall,969.2
1967,146,Fall,1034.25
1968,114.9,Fall,1069.65
1969,123.7,Fall,1098.45
1970,214.8,Fall,1104
1971,258.5,Fall,1109.95
1972,125.4,Fall,1033.25
1973,75,Fall,1054.75
1974,256,Fall,984.05
1975,320.9,Fall,979.6
1976,175.7,Fall,1067.9
1977,309.7,Fall,1022.4
1978,90.2,Fall,1029.05
1979,267.1,Fall,941.2
1980,80.5,Fall,922.35
1981,127.9,Fall,877.9
1982,137.4,Fall,977.35
1983,171.1,Fall,1058.8500000000001
1984,98.4,Fall,977.05
1985,239.9,Fall,1046.95
1986,85.8,Fall,983.35
1987,314.4,Fall,971.45
1988,193.1,Fall,968.2
1989,233.9,Fall,1052.6
1990,180.6,Fall,1127.25
1991,421.8,Fall,965.95
1992,146.2,Fall,956.55
1993,199.3,Fall,943.45
1994,179,Fall,754.15
1995,242.20000000000002,Fall,991.75
1996,225.9,Fall,1005.65
1997,109.3,Fall,988.85
1998,216,Fall,1072.1
1999,477,Fall,1036.4
2000,192.2,Fall,955.65
2001,136.2,Fall,1057.7
2002,198.8,Fall,1128.65
2003,273.3,Fall,1044.45
2004,323.4,Fall,1073.75
2005,412.1,Fall,1144.9
2006,222.1,Fall,987.0500000000001
2007,80.3,Fall,1092.35
2008,241.5,Fall,858
2009,143.8,Fall,983.75
2010,273.8,Fall,1047.9
2011,518.6,Fall,1103.8
2012,273.2,Fall,1020.3000000000001
2013,134.4,Fall,1017.7
2014,104.1,Fall,1009.1
2015,223.9,Fall,1136.5
2016,150.6,Fall,1133.05
2017,126.7,Fall,1100.65
2018,359.5,Fall,1166.5
2019,96.7,Fall,1042.8
2020,165.9,Fall,1045.3
2021,334.4,Fall,1150.15
